max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
189,0.1739189,0.0310069,2,120,1,3,3,3,83,0.8536860000000001,0.008713,0.263474,0.07894,170,150800
190,0.2784190,0.0550045,2,104,0,3,4,3,10,0.9876379999999999,0.0018226,0.351298,0.07354,165,34801
191,0.3937191,0.00460954,2,61,0,4,2,5,38,0.8979379999999999,0.0047133999999999995,0.24351399999999998,0.08038,169,74001
192,0.3849192,0.08020198,2,82,1,3,5,3,74,0.919466,0.0024166,0.419162,0.02494,197,36401
193,0.1135193,0.00660934,2,110,1,3,6,5,138,0.824982,0.005901399999999999,0.43513,0.053020000000000005,183,57201
194,0.1135194,0.04740526,1,115,0,2,4,7,132,0.988834,0.006574600000000001,0.21756599999999998,0.05338,73,122000
195,0.3068195,0.03580642,2,118,1,4,5,7,130,0.887174,0.0009513999999999999,0.281438,0.03466,178,127600
196,0.1135196,0.0670033,4,12,0,4,4,3,46,0.848902,0.00035739999999999996,0.123754,0.08254,83,142800
197,0.1135197,0.04660534,1,58,0,3,2,7,161,0.811826,0.005149,0.203594,0.06742000000000001,95,51601
198,0.1135198,0.06900310000000001,4,84,1,2,6,3,178,0.771162,0.004159,0.21157800000000002,0.07462,111,8401
199,0.1135199,0.08460154,2,88,1,3,2,3,96,0.7257140000000001,0.0034066,0.407186,0.05806,161,60401
200,0.1135200,0.07740226,5,35,1,2,5,5,158,0.7651819999999999,0.003961,0.347306,0.06813999999999999,176,35601
201,0.1135201,0.037006300000000006,3,79,1,4,2,7,137,0.8357459999999999,0.0080398,0.37525,0.05446,126,185200
202,0.1135202,0.0770023,3,7,0,3,4,3,170,0.9350139999999999,0.0029314,0.401198,0.09262000000000001,186,27601
203,0.1175203,0.09340066,3,36,1,3,2,7,140,0.993618,0.0067726,0.08582999999999999,0.026019999999999998,94,104400
204,0.1135204,0.05420458,3,90,0,2,5,7,62,0.82857,0.005109399999999999,0.421158,0.07318,118,54001
205,0.1138205,0.07260274,5,60,0,3,4,7,105,0.905114,0.008633799999999999,0.10978199999999999,0.04726,164,32401
206,0.1135206,0.00420958,4,108,1,3,6,5,197,0.713754,0.0070102,0.45109799999999994,0.09586,126,71601
207,0.3404207,0.03980602,3,64,1,3,6,3,56,0.937406,0.0004762,0.27545,0.05842000000000001,192,29201
208,0.1135208,0.08620138,5,49,1,4,4,5,160,0.8656459999999999,0.0060202,0.187626,0.057339999999999995,76,196400
209,0.1135209,0.08900110000000001,4,122,1,3,5,7,190,0.7065779999999999,0.0012286,0.463074,0.01162,195,46801
210,0.1135210,0.06540346,3,5,1,3,3,7,112,0.793886,0.009465399999999999,0.067866,0.0271,101,173200
211,0.1135211,0.05140486,3,3,0,4,6,7,45,0.8560780000000001,0.0046738,0.057886,0.0361,165,42001
212,0.1135212,0.04460554,4,25,0,4,4,3,70,0.87641,0.0036442000000000002,0.23353400000000002,0.04654,88,140400
213,0.1135213,0.0570043,2,105,1,3,5,7,80,0.707774,0.0005158,0.49501000000000006,0.09442,73,128400
214,0.1212214,0.04140586,4,127,0,4,5,7,150,0.96611,0.000595,0.21556999999999998,0.03286,130,133200
215,0.1135215,0.02460754,4,114,0,2,3,7,75,0.7914939999999999,0.0026938,0.429142,0.04222,108,164400
216,0.1135216,0.05940406,1,83,1,3,3,3,18,0.817806,0.0091486,0.41517,0.03934,74,9201
